id,interface,label,filed
1,s6a,EXPLOITABLE,Insert-Subscriber-Data-Request:Subscription-Data.HPLMN-ODB
2,s6a,EXPLOITABLE,Insert-Subscriber-Data-Request:Subscription-Data.AMBR.Max-Requested-Bandwidth-DL
3,s6a,EXPLOITABLE,Insert-Subscriber-Data-Request:Subscription-Data.Regional-Subscription-Zone-Code
4,s6a,EXPLOITABLE,Insert-Subscriber-Data-Request:Subscription-Data.APN-Configuration-Profile.APN-Configuration.MIP6-Agent-Info.MIP-Home-Agent-Address
5,s6a,EXPLOITABLE,Insert-Subscriber-Data-Request:Subscription-Data.APN-Configuration-Profile.APN-Configuration.PDN-Type
6,s6a,EXPLOITABLE,Cancel-Location-Request:Cancellation-Type.SUBSCRIPTION_WITHDRAWAL
7,s6a,EXPLOITABLE,Delete-Subscriber-Data-Request:DSR-Flags
8,s6a,EXPLOITABLE,Delete-Subscriber-Data-Request:Context-Identifier(non-default)
9,s6a,EXPLOITABLE,Update-Location-Request:ULR-Flags.Initial-Attach-Indicator
10,s6a,EXPLOITABLE,Purge-UE-Request:User-Name
11,s6a,NON-EXPLOITABLE,Authentication-Information-Request:AIR-Flags
12,s6a,NON-EXPLOITABLE,Reset-Request: Subscription-Data.3GPP-Charging-Characteristics
13,s6a,NON-EXPLOITABLE,Insert-Subscriber-Data-Request:Supported-Features.Feature-List-ID
14,s6a,NON-EXPLOITABLE,Notify-Request:Service-Selection
15,s6a,NON-EXPLOITABLE,Purge-UE-Request:EPS-Location-Information.MME-Location-Information.Geographical-Information
16,s6a,NON-EXPLOITABLE,Update-Location-Request:Coupled-Node-Diameter-ID
17,s6a,NON-EXPLOITABLE,Delete-Subscriber-Data-Request:Supported-Features.Feature-List
18,s6a,NON-EXPLOITABLE,Update-Location-Request:Terminal-Information.Software-Version
19,s6a,NON-EXPLOITABLE,Notify-Request:Terminal-Information.IMEI
20,s6a,NON-EXPLOITABLE,Cancel-Location-Request:CLR-Flags.S6aS6d-Indicator 
21,cx,EXPLOITABLE,Push-Profile-Request:3GPP-SIP-Auth-Data-Item.3GPP-SIP-Auth-Data-Item
22,cx,EXPLOITABLE,Push-Profile-Request:Cx-User-Data
23,cx,EXPLOITABLE,Push-Profile-Request:Charging-Information
24,cx,EXPLOITABLE,Registration-Termination-Request:Deregistration-Reason.Reason-Code
25,cx,EXPLOITABLE,Registration-Termination-Request:Public-Identity
26,cx,EXPLOITABLE,Registration-Termination-Request:Associated-Identities.User-Name
27,cx,EXPLOITABLE,Server-Assignment-Request:Server-Assignment-Type
28,cx,EXPLOITABLE,Server-Assignment-Request:SCSCF-Restoration-Info.Restoration-Info
29,cx,EXPLOITABLE,Server-Assignment-Request:Server-Name
30,cx,EXPLOITABLE,Server-Assignment-Request:SCSCF-Restoration-Info.User-Name
31,cx,NON-EXPLOITABLE,Location-Info-Request:Session-Priority
32,cx,NON-EXPLOITABLE,Multimedia-Auth-Request:3GPP-SIP-Auth-Data-Item.SIP-Authentication-Context
33,cx,NON-EXPLOITABLE,User-Authorization-Request:Visited-Network-Identifier
34,cx,NON-EXPLOITABLE,Server-Assignment-Request:Supported-Features.Feature-List-ID
35,cx,NON-EXPLOITABLE,Server-Assignment-Request:Session-Priority
36,cx,NON-EXPLOITABLE,Location-Info-Request:Originating-Request
37,cx,NON-EXPLOITABLE,User-Authorization-Request:User-Authorization-Type
38,cx,NON-EXPLOITABLE,User-Authorization-Request:Public-Identity
39,cx,NON-EXPLOITABLE,Multimedia-Auth-Request:OC-Supported-Features
40,cx,NON-EXPLOITABLE,Location-Info-Request:Supported-Features.Vendor-Id
